GeneID	GSM5191630	GSM5191631	GSM5191632	GSM5191633	GSM5191634	GSM5191635	GSM5191636	GSM5191637	GSM5191638	GSM5191639	GSM5191640	GSM5191641	GSM5191642	GSM5191643	GSM5191644	GSM5191645	GSM5191646	GSM5191647
100287102	14	6	11	9	23	7	13	9	7	10	7	8	11	3	3	13	9	8
653635	316	266	345	553	391	251	336	296	406	328	292	277	252	235	347	316	304	195
102466751	12	9	16	27	18	8	15	11	13	22	16	15	8	8	14	18	14	11
107985730	4	0	1	2	1	1	1	1	1	1	2	0	1	0	0	3	1	0
100302278	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
645520	13	2	5	10	7	13	6	4	2	6	5	4	2	2	2	14	5	5
79501	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	16	0	1
100996442	66	122	112	98	91	141	60	112	44	78	86	43	79	116	67	191	59	43
729737	186	239	169	224	204	235	116	107	102	274	129	97	80	126	91	405	121	78
102725121	16	6	10	12	30	7	12	7	7	12	8	7	8	2	0	18	14	11
102723897	367	295	283	494	404	253	306	351	305	342	298	308	232	302	257	293	323	268
102465909	12	8	14	16	12	6	11	8	11	12	10	11	6	8	10	9	9	12
107985721	16	5	4	4	11	7	6	4	4	6	3	2	2	2	1	13	4	3
112268260	47	46	23	41	48	72	48	21	37	50	26	29	49	16	62	156	27	45
729759	4	10	5	10	7	6	8	4	9	8	6	7	6	3	7	35	7	11
100132287	238	293	296	351	211	346	243	217	236	280	238	203	209	265	220	293	255	175
105378947	5	7	0	5	2	2	5	0	6	4	0	4	5	1	16	26	4	6
101928626	2	0	1	3	0	0	3	0	1	1	0	1	2	0	4	18	1	3
113219467	367	354	439	262	485	212	1217	1455	2278	386	571	196	554	1824	1988	1066	998	207
81399	38	46	30	59	38	48	51	22	45	40	38	34	52	20	67	186	40	59
100133331	281	330	423	396	235	367	238	286	242	266	264	257	202	346	212	281	252	202
107984841	112	102	125	109	102	129	79	110	92	102	87	78	67	135	95	86	98	72
107984847	148	162	185	186	169	232	157	122	136	159	143	122	142	165	126	150	177	113
107984849	74	66	99	78	60	108	62	50	35	63	55	54	51	59	54	71	56	45
100288069	148	179	204	155	144	258	131	177	110	157	143	107	97	213	116	149	139	119
105378580	189	196	236	180	259	357	224	151	129	183	175	112	176	104	106	172	176	142
400728	85	84	70	75	97	198	84	55	69	83	47	52	44	51	50	49	46	35
79854	75	50	64	58	51	137	60	48	67	61	44	52	36	56	61	40	43	30
643837	425	394	438	420	420	466	592	560	387	453	489	436	417	327	338	358	456	326
107984850	1	5	1	2	3	2	0	3	0	5	1	1	5	1	1	5	8	3
284593	4	6	6	3	5	8	3	5	1	4	3	3	3	7	3	8	1	6
284600	12	5	1	6	14	15	10	24	8	1	12	5	24	205	74	130	29	56
100130417	20	7	5	26	35	26	24	24	8	8	22	19	33	153	65	101	29	71
107985728	48	18	19	38	62	49	94	46	20	20	57	22	92	392	108	225	72	131
148398	101	55	32	80	115	93	135	151	57	70	118	61	170	785	181	304	131	162
26155	246	225	243	249	292	253	261	307	257	253	292	220	262	433	309	295	377	274
339451	101	89	67	69	62	93	93	60	34	57	89	70	141	155	110	76	163	102
84069	16	10	10	11	15	20	17	13	4	5	11	16	15	25	10	10	6	13
84808	2	15	4	10	5	4	11	7	9	10	5	7	7	14	10	11	4	5
57801	182	137	117	185	112	103	174	159	175	99	312	236	183	232	163	132	320	148
9636	51	35	50	79	73	31	62	75	32	31	144	52	39	75	60	178	83	51
375790	874	537	532	1102	951	617	1047	1041	690	546	855	627	652	1640	1039	683	801	913
100288175	1	2	0	3	1	1	4	1	0	2	2	2	2	9	3	1	1	1
112267874	1	2	0	1	2	1	1	0	0	1	4	1	1	8	0	1	3	1
105378948	6	5	0	3	3	4	3	1	1	2	5	3	4	13	2	4	2	2
401934	0	1	0	0	0	1	0	0	0	0	1	0	3	1	0	3	1	1
54991	107	129	145	128	152	137	116	89	91	85	101	117	100	134	100	90	129	101
254099	0	1	1	1	0	0	0	1	0	0	0	0	0	1	2	0	1	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
554210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	1	1	0	0	0	0	0	2	3	1	1	2	0	0	3	2	1	2
254173	7	3	2	3	2	6	3	4	3	1	1	4	1	3	1	3	6	1
8784	2	2	1	0	2	0	0	2	1	1	1	7	0	3	0	2	2	2
7293	9	4	6	7	10	11	10	7	7	12	8	6	6	52	14	13	31	11
51150	771	518	677	871	800	657	899	1101	774	654	796	716	637	999	839	531	748	725
126792	185	134	155	178	230	180	210	233	139	179	175	101	178	275	199	175	187	167
388581	4	15	13	4	13	10	11	5	13	13	11	4	16	18	25	20	22	19
118424	432	359	419	387	435	436	496	467	411	426	417	365	394	527	380	383	570	339
101928895	58	56	42	57	60	58	54	39	34	57	44	41	39	52	36	31	64	39
6339	133	119	94	111	112	137	108	53	64	74	89	82	78	92	66	79	97	100
116983	878	722	645	882	952	635	984	565	615	558	930	551	618	788	740	570	1458	755
102465434	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0
109623456	10	6	7	7	13	3	7	5	7	5	7	5	9	4	3	6	15	6
126789	116	73	70	80	96	99	104	80	63	82	100	57	77	93	78	75	129	96
54973	1241	935	1085	1093	1229	1286	1130	941	1105	1007	1087	978	911	1009	1142	831	1773	1202
